"VISA", "Visa"
"MASTERCARD", "Mastercard"
"AMEX", "Amex"
"DINERS", "Diners"
"JCB", "JCB"
"MAESTRO_INTERNATIONAL", "Maestro International"
"MAESTRO_UK", "Maestro UK"
"DISCOVER", "Discover"
"CARTE_BLEUE", "Carte Bleue"

"PPE", "Paypal Express"

"PNT", "Sofortüberweisung"
"GPY", "Giropay"
"EPS", "EPS Österreich"
"PFF", "PostFinance E-Finance Schweiz"
"PFC", "PostFinance Card Schweiz"
"IDL", "IDEAL"
"P24", "Przelewy24"

"CFR","Commerz Finanz"
"BSV","BillSAFE"
"KLV","Klarna"
"KLS","Klarna"

"RPV","Invoicing"
"RPS","Installment"
"RPD","Debit"
"RPP","Prepayment"

"FCPO_CC_ROW_CC_Number","Creditcardnumber"
"FCPO_CC_ROW_CC_CVC","CVC security code"
"FCPO_CC_ROW_CC_Month","Validity-month"
"FCPO_CC_ROW_CC_Year","Validity-year"

"PAYONE_TOOLTIP_CUSTOMERMESSAGE","Yes - display the error-message given by RatePay<br>No - show a generic error-message"
